remotehost,rfc931,authuser,date,request,status,bytes
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /ducati/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
10.0.0.2,-,apache,1549573860,GET /api/user HTTP/1.0,200,1234
